agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,total_force_x,total_force_y,total_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
1,2.2,2.4,19.0,0.0,2.2,19.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
2,2.2,10.0,10.0,2.4,10.0,10.0,2.2,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
3,2.2,16.6,0.0,0.0,16.8,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,2.4,2.6,0.0,0.0,2.4,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,2.4,2.6,19.0,0.0,2.4,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,2.4,10.0,10.0,2.6,10.0,10.0,2.4,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,2.4,16.400000000000002,0.0,0.0,16.6,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,2.6,2.8000000000000003,0.0,0.0,2.6,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,2.6,2.8000000000000003,19.0,0.0,2.6,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,2.6,10.0,10.0,2.8000000000000003,10.0,10.0,2.6,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,2.6,16.2,0.0,0.0,16.4,0.0,0.0,-0.1999999999999993,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993
0,2.8,3.0,0.0,0.0,2.8,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,2.8,3.0,19.0,0.0,2.8,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
